			Symbol				Name				Sector				industry	
{	Symbol	":"""	DD^A	"""xqxq"	Name	":"""	E.I. du Pont de Nemours and Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	DD^B	"""xqxq"	Name	":"""	E.I. du Pont de Nemours and Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	EMN	"""xqxq"	Name	":"""	Eastman Chemical Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	FTK	"""xqxq"	Name	":"""	"Flotek Industries, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	FMC	"""xqxq"	Name	":"""	FMC Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	FF	"""xqxq"	Name	":"""	FutureFuel Corp.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	HXL	"""xqxq"	Name	":"""	Hexcel Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	HUN	"""xqxq"	Name	":"""	Huntsman Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	IFF	"""xqxq"	Name	":"""	"Internationa Flavors & Fragrances, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	KMG	"""xqxq"	Name	":"""	"KMG Chemicals, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	KRA	"""xqxq"	Name	":"""	"Kraton Performance Polymers, Inc"	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
